Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Peipei Wang, Chris Brown 0001, Jamie A. Jennings, Kathryn T. Stolee",Demystifying regular expression bugs.,Empir. Softw. Eng.,27(2022): 21,https://doi.org/10.1007/s10664-021-10033-1,article
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee","What Makes Team[s] Work? A Study of Team Characteristics in Software Engineering
                Projects.",ICER (1),2022: 177-188,https://doi.org/10.1145/3501385.3543980,inproceedings
"Gina R. Bai, Kai Presler-Marshall, Thomas W. Price, Kathryn T. Stolee","Check It Off: Exploring the Impact of a Checklist Intervention on the Quality of
                Student-authored Unit Tests.",ITiCSE (1),2022: 276-282,https://doi.org/10.1145/3502718.3524799,inproceedings
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee","Identifying Struggling Teams in Software Engineering Courses Through Weekly
                Surveys.",SIGCSE (1),2022: 126-132,https://doi.org/10.1145/3478431.3499367,inproceedings
"Afsoon Afzal, Manish Motwani, Kathryn T. Stolee, Yuriy Brun, Claire Le Goues",SOSRepair: Expressive Semantic Search for Real-World Program Repair.,IEEE Trans. Software Eng.,47(2021): 2162-2181,https://doi.org/10.1109/TSE.2019.2944914,article
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee",SQLRepair: Identifying and Repairing Mistakes in Student-Authored SQL Queries.,ICSE (SEET),2021: 199-210,https://doi.org/10.1109/ICSE-SEET52601.2021.00030,inproceedings
"Gina R. Bai, Justin Smith 0001, Kathryn T. Stolee","How Students Unit Test: Perceptions, Practices, and Pitfalls.",ITiCSE (1),2021: 248-254,https://doi.org/10.1145/3430665.3456368,inproceedings
"Susan R. Fisk, Tiah Wingate, Lina Battestilli, Kathryn T. Stolee","Increasing Women's Persistence in Computer Science by Decreasing Gendered
                Self-Assessments of Computing Ability.",ITiCSE (1),2021: 464-470,https://doi.org/10.1145/3430665.3456374,inproceedings
"George Mathew, Kathryn T. Stolee",Cross-language code search using static and dynamic analyses.,ESEC/SIGSOFT FSE,2021: 205-217,https://doi.org/10.1145/3468264.3468538,inproceedings
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee",SQLRepair: Identifying and Repairing Mistakes in Student-Authored SQL Queries.,CoRR,abs/2102.05729(2021): ,https://arxiv.org/abs/2102.05729,article
"Peipei Wang, Chris Brown 0001, Jamie A. Jennings, Kathryn T. Stolee","Demystifying Regular Expression Bugs: A comprehensive study on regular expression
                bug causes, fixes, and testing.",CoRR,abs/2104.09693(2021): ,https://arxiv.org/abs/2104.09693,article
