Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type,Area,boast text,pdf,select
"Keila Barbosa, Ronivaldo Ferreira, Gustavo Pinto 0001, Marcelo d'Amorim, Breno Miranda",Test Flakiness Across Programming Languages.,IEEE Trans. Software Eng.,49(2023): 2039-2052,https://doi.org/10.1109/TSE.2022.3208864,article,,,,TRUE
"Brittany Reid, Marcelo d'Amorim, Markus Wagner 0007, Christoph Treude",NCQ: Code Reuse Support for Node.js Developers.,IEEE Trans. Software Eng.,49(2023): 3205-3225,https://doi.org/10.1109/TSE.2023.3248113,article,,,,TRUE
"Lucas Cabral 0002, Breno Miranda, Igor Lima, Marcelo d'Amorim",RVprio: A tool for prioritizing runtime verification violations.,Softw. Test. Verification Reliab.,32(2022):,https://doi.org/10.1002/stvr.1813,article,,,,
"Lucas Alcantara, Guilherme Padilha, Rui Abreu 0001, Marcelo d'Amorim",Syrius: Synthesis of Rules for Intrusion Detectors.,IEEE Trans. Reliab.,71(2022): 370-381,https://doi.org/10.1109/TR.2021.3061297,article,,,,
"Facundo Molina, Marcelo d'Amorim, Nazareno Aguirre",Fuzzing Class Specifications.,ICSE,2022: 1008-1020,https://doi.org/10.1145/3510003.3510120,inproceedings,,,,TRUE
"Sofia Reis, Rui Abreu 0001, Marcelo d'Amorim, Daniel Fortunato",Leveraging Practitioners' Feedback to Improve a Security Linter.,ASE,2022: 66:1-66:12,https://doi.org/10.1145/3551349.3560419,inproceedings,,,,
"Andrea Stocco 0001, Paulo J. Nunes, Marcelo d'Amorim, Paolo Tonella",ThirdEye: Attention Maps for Safe Autonomous Driving Systems.,ASE,2022: 102:1-102:12,https://doi.org/10.1145/3551349.3556968,inproceedings,,,,TRUE
"Brittany Reid, Markus Wagner 0007, Marcelo d'Amorim, Christoph Treude",Software Engineering User Study Recruitment on Prolific: An Experience Report.,CoRR,abs/2201.05348(2022):,https://arxiv.org/abs/2201.05348,article,,,,
"Facundo Molina, Marcelo d'Amorim, Nazareno Aguirre",Fuzzing Class Specifications.,CoRR,abs/2201.10874(2022):,https://arxiv.org/abs/2201.10874,article,,,,
"Patrick Bareiß, Beatriz Souza, Marcelo d'Amorim, Michael Pradel","Code Generation Tools (Almost) for Free? A Study of Few-Shot, Pre-Trained
                Language Models on Code.",CoRR,abs/2206.01335(2022):,https://doi.org/10.48550/arXiv.2206.01335,article,,,,
"Rohit Gheyi, Márcio Ribeiro 0001, Beatriz Souza, Marcio Augusto Guimarães, Leo Fernandes, Marcelo d'Amorim, Vander Alves, Leopoldo Teixeira, Baldoino Fonseca",Identifying method-level mutation subsumption relations using Z3.,Inf. Softw. Technol.,132(2021): 106496,https://doi.org/10.1016/j.infsof.2020.106496,article,,,,
"Igor Lima, Jefferson Silva, Breno Miranda, Gustavo Pinto 0001, Marcelo d'Amorim","Exposing bugs in JavaScript engines through test transplantation and differential
                testing.",Softw. Qual. J.,29(2021): 129-158,https://doi.org/10.1007/s11219-020-09537-8,article,,,,
"Luis Melo, Igor Wiese, Marcelo d'Amorim",Using Docker to Assist Q & A Forum Users.,IEEE Trans. Software Eng.,47(2021): 2563-2574,https://doi.org/10.1109/TSE.2019.2956919,article,,,,
"Daniela S. Costa, Carlos A. B. Mello, Marcelo d'Amorim","A comparative study on methods and tools for handwritten mathematical expression
                recognition.",DocEng,2021: 26:1-26:4,https://doi.org/10.1145/3469096.3474936,inproceedings,,,,
"Jordan Henkel, Denini Silva, Leopoldo Teixeira, Marcelo d'Amorim, Thomas W. Reps",Shipwright: A Human-in-the-Loop System for Dockerfile Repair.,ICSE (Companion Volume),2021: 198-199,https://doi.org/10.1109/ICSE-Companion52605.2021.00087,inproceedings,,,,
"Jordan Henkel, Denini Silva, Leopoldo Teixeira, Marcelo d'Amorim, Thomas W. Reps",Shipwright: A Human-in-the-Loop System for Dockerfile Repair.,ICSE,2021: 1148-1160,https://doi.org/10.1109/ICSE43902.2021.00106,inproceedings,,,,TRUE
"Shouvick Mondal, Denini Silva, Marcelo d'Amorim",Soundy Automated Parallelization of Test Execution.,ICSME,2021: 309-319,https://doi.org/10.1109/ICSME52107.2021.00034,inproceedings,,,,TRUE
"Leopoldo Teixeira, Breno Miranda, Henrique Rebêlo, Marcelo d'Amorim","Demystifying the Challenges of Formally Specifying API Properties for Runtime
                Verification.",ICST,2021: 82-93,https://doi.org/10.1109/ICST49551.2021.00020,inproceedings,,,,
"Marcello Cordeiro, Denini Silva, Leopoldo Teixeira, Breno Miranda, Marcelo d'Amorim",Shaker: a Tool for Detecting More Flaky Tests Faster.,ASE,2021: 1281-1285,https://doi.org/10.1109/ASE51524.2021.9678918,inproceedings,,,,
"Brittany Reid, Keila Barbosa, Marcelo d'Amorim, Markus Wagner 0007, Christoph Treude",NCQ: code reuse support for Node.js developers.,CoRR,abs/2101.00756(2021):,https://arxiv.org/abs/2101.00756,article,,,,
"Jordan Henkel, Denini Silva, Leopoldo Teixeira, Marcelo d'Amorim, Thomas W. Reps",Shipwright: A Human-in-the-Loop System for Dockerfile Repair.,CoRR,abs/2103.02591(2021):,https://arxiv.org/abs/2103.02591,article,,,,
"Igor Lima, Jeanderson Cândido, Marcelo d'Amorim",Practical detection of CMS plugin conflicts in large plugin sets.,Inf. Softw. Technol.,118(2020):,https://doi.org/10.1016/j.infsof.2019.106212,article,,,,
"Marcelo d'Amorim, Rui Abreu 0001, Carlos Mello",Visual sketching: from image sketches to code.,ICSE (NIER),2020: 101-104,https://doi.org/10.1145/3377816.3381745,inproceedings,,,,
"Denini Silva, Leopoldo Teixeira, Marcelo d'Amorim",Shake It! Detecting Flaky Tests Caused by Concurrency with Shaker.,ICSME,2020: 301-311,https://doi.org/10.1109/ICSME46990.2020.00037,inproceedings,,,,
"Marcio Augusto Guimarães, Leonardo Fernandes, Márcio Ribeiro 0001, Marcelo d'Amorim, Rohit Gheyi",Optimizing Mutation Testing by Discovering Dynamic Mutant Subsumption Relations.,ICST,2020: 198-208,https://doi.org/10.1109/ICST46399.2020.00029,inproceedings,,,,
"Breno Miranda, Igor Lima, Owolabi Legunsen, Marcelo d'Amorim",Prioritizing Runtime Verification Violations.,ICST,2020: 297-308,https://doi.org/10.1109/ICST46399.2020.00038,inproceedings,,,,
