Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Peter Robe, Sandeep Kaur Kuttal",Designing PairBuddy - A Conversational Agent for Pair Programming.,ACM Trans. Comput. Hum. Interact.,29(2022): 34:1-34:44,https://doi.org/10.1145/3498326,article
"Peter Robe, Sandeep Kaur Kuttal, Jake AuBuchon, Jacob Hart","Pair programming conversations with agents vs. developers: challenges and
                opportunities for SE community.",ESEC/SIGSOFT FSE,2022: 319-331,https://doi.org/10.1145/3540250.3549127,inproceedings
"Sandeep Kaur Kuttal, Xiaofan Chen, Zhendong Wang, Sogol Balali, Anita Sarma",Visual Resume: Exploring developers' online contributions for hiring.,Inf. Softw. Technol.,138(2021): 106633,https://doi.org/10.1016/j.infsof.2021.106633,article
"Sandeep Kaur Kuttal, Se Yeon Kim, Carlos Martos, Alexandra Bejarano","How end-user programmers forage in online repositories? An information foraging
                perspective.",J. Comput. Lang.,62(2021): 101010,https://doi.org/10.1016/j.cola.2020.101010,article
"Sandeep Kaur Kuttal, Bali Ong, Kate Kwasny, Peter Robe","Trade-offs for Substituting a Human with an Agent in a Pair Programming Context:
                The Good, the Bad, and the Ugly.",CHI,2021: 243:1-243:20,https://doi.org/10.1145/3411764.3445659,inproceedings
"Sandeep Kaur Kuttal, Abim Sedhain, Jacob AuBuchon","Designing a Gender-Inclusive Conversational Agent For Pair Programming: An
                Empirical Investigation.",HCI (36),2021: 59-75,https://doi.org/10.1007/978-3-030-77772-2_4,inproceedings
"Caroline Lott, Alexander McAuliffe, Sandeep Kaur Kuttal",Remote Pair Collaborations of CS Students: Leaving Women Behind?,VL/HCC,2021: 1-11,https://doi.org/10.1109/VL/HCC51201.2021.9576394,inproceedings
"Sandeep Kaur Kuttal, Jarow Myers, Sam Gurka, David Magar, David Piorkowski, Rachel K. E. Bellamy","Towards Designing Conversational Agents for Pair Programming: Accounting for
                Creativity Strategies and Conversational Styles.",VL/HCC,2020: 1-11,https://doi.org/10.1109/VL/HCC50065.2020.9127276,inproceedings
"Peter Robe, Sandeep Kaur Kuttal, Yunfeng Zhang, Rachel K. E. Bellamy","Can Machine Learning Facilitate Remote Pair Programming? Challenges, Insights
                &Implications.",VL/HCC,2020: 1-11,https://doi.org/10.1109/VL/HCC50065.2020.9127250,inproceedings
"Sandeep Kaur Kuttal, Akash Ghosh",Source Code Comments: Overlooked in the Realm of Code Clone Detection.,CoRR,abs/2006.14505(2020): ,https://arxiv.org/abs/2006.14505,article
"Sandeep Kaur Kuttal, Anita Sarma, Margaret Burnett, Gregg Rothermel, Ian Koeppe, Brooke Shepherd","How end-user programmers debug visual web-based programs: An information foraging
                theory perspective.",J. Comput. Lang.,53(2019): 22-37,https://doi.org/10.1016/j.cola.2019.04.003,article
"Sandeep Kaur Kuttal, Kevin Gerstner, Alexandra Bejarano","Remote Pair Programming in Online CS Education: Investigating through a Gender
                Lens.",VL/HCC,2019: 75-85,https://doi.org/10.1109/VLHCC.2019.8818790,inproceedings
"Sandeep Kaur Kuttal, Anita Sarma, Gregg Rothermel, Zhendong Wang","What happened to my application? Helping end users comprehend evolution through
                variation management.",Inf. Softw. Technol.,103(2018): 55-74,https://doi.org/10.1016/j.infsof.2018.06.008,article
"Akash Ghosh, Sandeep Kaur Kuttal",Semantic Clone Detection: Can Source Code Comments Help?,VL/HCC,2018: 315-317,https://doi.org/10.1109/VLHCC.2018.8506550,inproceedings
"Cheng Zhou, Sandeep Kaur Kuttal, Iftekhar Ahmed 0001","What Makes a Good Developer? An Empirical Study of Developers' Technical and
                Social Competencies.",VL/HCC,2018: 319-321,https://doi.org/10.1109/VLHCC.2018.8506577,inproceedings
"Michael Mu Sun, Akash Ghosh, Rajesh Sharma, Sandeep Kaur Kuttal","Birds of a Feather Flock Together? A Study of Developers' Flocking and Migration
                Behavior in GitHub and Stack Overflow.",CoRR,abs/1810.13062(2018): ,http://arxiv.org/abs/1810.13062,article
"Will Jernigan, Amber Horvath, Michael Jongseon Lee, Margaret M. Burnett, Taylor Cuilty, Sandeep Kaur Kuttal, Anicia Peters, Irwin Kwan, Faezeh Bahmani, Amy J. Ko, Christopher J. Mendez, Alannah Oleson","General principles for a Generalized Idea Garden1-s2.0-S1045926X17300708-fx1Image
                1.",J. Vis. Lang. Comput.,39(2017): 51-65,https://doi.org/10.1016/j.jvlc.2017.04.005,article
"Sruti Srinivasa Ragavan, Bhargav Pandya, David Piorkowski, Charles Hill 0001, Sandeep Kaur Kuttal, Anita Sarma, Margaret M. Burnett",PFIS-V: Modeling Foraging Behavior in the Presence of Variants.,CHI,2017: 6232-6244,https://doi.org/10.1145/3025453.3025818,inproceedings
"Sruti Srinivasa Ragavan, Sandeep Kaur Kuttal, Charles Hill 0001, Anita Sarma, David Piorkowski, Margaret M. Burnett",Foraging Among an Overabundance of Similar Variants.,CHI,2016: 3509-3521,https://doi.org/10.1145/2858036.2858469,inproceedings
"Anita Sarma, Xiaofan Chen, Sandeep Kaur Kuttal, Laura Dabbish, Zhendong Wang",Hiring in the Global Stage: Profiles of Online Contributions.,ICGSE,2016: 1-10,https://doi.org/10.1109/ICGSE.2016.35,inproceedings
"Carlos Martos, Se Yeon Kim, Sandeep Kaur Kuttal",Reuse of variants in online repositories: Foraging for the fittest.,VL/HCC,2016: 124-128,https://doi.org/10.1109/VLHCC.2016.7739674,inproceedings
"Will Jernigan, Amber Horvath, Michael Jongseon Lee, Margaret M. Burnett, Taylor Cuilty, Sandeep Kaur Kuttal, Anicia Peters, Irwin Kwan, Faezeh Bahmani, Amy J. Ko",A principled evaluation for a principled idea garden.,VL/HCC,2015: 235-243,https://doi.org/10.1109/VLHCC.2015.7357222,inproceedings
"Sandeep Kaur Kuttal, Anita Sarma, Gregg Rothermel","On the benefits of providing versioning support for end users: An empirical
                study.",ACM Trans. Comput. Hum. Interact.,21(2014): 9:1-9:43,https://doi.org/10.1145/2560016,article
"Sandeep Kaur Kuttal, Anita Sarma, Gregg Rothermel",Debugging support for end user mashup programming.,CHI,2013: 1609-1618,https://doi.org/10.1145/2470654.2466213,inproceedings
"Sandeep Kaur Kuttal, Anita Sarma, Gregg Rothermel","Predator behavior in the wild web world of bugs: An information foraging theory
                perspective.",VL/HCC,2013: 59-66,https://doi.org/10.1109/VLHCC.2013.6645244,inproceedings
Sandeep Kaur Kuttal,Variation support for end users.,VL/HCC,2013: 183-184,https://doi.org/10.1109/VLHCC.2013.6645276,inproceedings
"Sandeep Kaur Kuttal, Anita Sarma, Amanda Swearngin, Gregg Rothermel",Versioning for Mashups - An Exploratory Study.,IS-EUD,2011: 25-41,https://doi.org/10.1007/978-3-642-21530-8_4,inproceedings
"Sandeep Kaur Kuttal, Anita Sarma, Gregg Rothermel",History repeats itself more easily when you log it: Versioning for mashups.,VL/HCC,2011: 69-72,https://doi.org/10.1109/VLHCC.2011.6070381,inproceedings
