Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Ana Carla Bibiano, Anderson G. Uchôa, Wesley K. G. Assunção, Daniel Tenório Martins de Oliveira, Thelma Elita Colanzi, Silvia Regina Vergilio, Alessandro F. Garcia 0001","Composite refactoring: Representations, characteristics and effects on software
                projects.",Inf. Softw. Technol.,156(2023): 107134,https://doi.org/10.1016/j.infsof.2022.107134,article
"Gabriela Karoline Michelon, Jabier Martinez, Bruno Sotto-Mayor, Aitor Arrieta, Wesley K. G. Assunção, Rui Abreu 0001, Alexander Egyed",Spectrum-based feature localization for families of systems.,J. Syst. Softw.,195(2023): 111532,https://doi.org/10.1016/j.jss.2022.111532,article
"Luciano Marchezan, Roland Kretschmer, Wesley K. G. Assunção, Alexander Reder, Alexander Egyed",Generating repairs for inconsistent models.,Softw. Syst. Model.,22(2023): 297-329,https://doi.org/10.1007/s10270-022-00996-0,article
"Luciano Marchezan, Wesley K. G. Assunção, Gabriela Karoline Michelon, Alexander Egyed","Do Developers Benefit from Recommendations when Repairing Inconsistent Design
                Models? a Controlled Experiment.",EASE,2023: 131-140,https://doi.org/10.1145/3593434.3593482,inproceedings
"Djonathan Barros, Sven Peldszus, Wesley K. G. Assunção, Thorsten Berger","Editing Support for Software Languages: Implementation Practices in Language
                Server Protocols (Summary).",Software Engineering,2023: 35-36,https://dl.gi.de/20.500.12116/40127,inproceedings
"Stefan Fischer 0006, Gabriela Karoline Michelon, Wesley K. G. Assunção, Rudolf Ramler, Alexander Egyed","Designing a Test Model for a Configurable System: An Exploratory Study of
                Preprocessor Directives and Feature Toggles.",VaMoS,2023: 31-39,https://doi.org/10.1145/3571788.3571795,inproceedings
"Gabriela Karoline Michelon, Wesley K. G. Assunção, Paul Grünbacher, Alexander Egyed","Analysis and Propagation of Feature Revisions in Preprocessor-based Software
                Product Lines.",SANER,2023: 284-295,https://doi.org/10.1109/SANER56733.2023.00035,inproceedings
"Wesley K. G. Assunção, Thelma Elita Colanzi, Luiz Carvalho, Alessandro Garcia 0001, Juliana Alves Pereira, Maria Julia de Lima, Carlos Lucena","Analysis of a many-objective optimization approach for identifying microservices
                from legacy systems.",Empir. Softw. Eng.,27(2022): 51,https://doi.org/10.1007/s10664-021-10049-7,article
"Rodrigo André Ferreira Moreira, Wesley K. G. Assunção, Jabier Martinez, Eduardo Figueiredo 0001","Open-source software product line extraction processes: the ArgoUML-SPL and
                Phaser cases.",Empir. Softw. Eng.,27(2022): 85,https://doi.org/10.1007/s10664-021-10104-3,article
"Gabriela Karoline Michelon, David Obermann, Wesley K. G. Assunção, Lukas Linsbauer, Paul Grünbacher, Stefan Fischer 0006, Roberto E. Lopez-Herrejon, Alexander Egyed",Evolving software system families in space and time with feature revisions.,Empir. Softw. Eng.,27(2022): 112,https://doi.org/10.1007/s10664-021-10108-z,article
"Jackson A. Prado Lima, Willian D. F. Mendonça, Silvia R. Vergilio, Wesley K. G. Assunção","Cost-effective learning-based strategies for test case prioritization in
                continuous integration of highly-configurable software.",Empir. Softw. Eng.,27(2022): 133,https://doi.org/10.1007/s10664-021-10093-3,article
