Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Yingjie Tian 0001, Weizhi Gao, Qin Zhang, Pu Sun, Dongkuan Xu",Improving long-tailed classification by disentangled variance transfer.,Internet Things,21(2023): 100687,https://doi.org/10.1016/j.iot.2023.100687,article
"Bowen Lei, Dongkuan Xu, Ruqi Zhang, Shuren He, Bani K. Mallick","Balance is Essence: Accelerating Sparse Training via Adaptive Gradient
                Correction.",CoRR,abs/2301.03573(2023): ,https://doi.org/10.48550/arXiv.2301.03573,article
"Bowen Lei, Ruqi Zhang, Dongkuan Xu, Bani K. Mallick",Calibrating the Rigged Lottery: Making All Tickets Reliable.,CoRR,abs/2302.09369(2023): ,https://doi.org/10.48550/arXiv.2302.09369,article
"Yue Xiang, Dongyao Zhu, Bowen Lei, Dongkuan Xu, Ruqi Zhang","Efficient Informed Proposals for Discrete Distributions via Newton's Series
                Approximation.",CoRR,abs/2302.13929(2023): ,https://doi.org/10.48550/arXiv.2302.13929,article
"Dongsheng Luo, Wei Cheng 0002, Yingheng Wang, Dongkuan Xu, Jingchao Ni, Wenchao Yu, Xuchao Zhang, Yanchi Liu, Yuncong Chen, Haifeng Chen, Xiang Zhang",Time Series Contrastive Learning with Information-Aware Augmentations.,CoRR,abs/2303.11911(2023): ,https://doi.org/10.48550/arXiv.2303.11911,article
"Shaoyi Huang, Haowen Fang, Kaleel Mahmood, Bowen Lei, Nuo Xu, Bin Lei, Yue Sun, Dongkuan Xu, Wujie Wen, Caiwen Ding",Neurogenesis Dynamics-inspired Spiking Neural Network Training Acceleration.,CoRR,abs/2304.12214(2023): ,https://doi.org/10.48550/arXiv.2304.12214,article
"Binfeng Xu, Zhiyuan Peng, Bowen Lei, Subhabrata Mukherjee, Yuchen Liu, Dongkuan Xu","ReWOO: Decoupling Reasoning from Observations for Efficient Augmented Language
                Models.",CoRR,abs/2305.18323(2023): ,https://doi.org/10.48550/arXiv.2305.18323,article
"Shaoyi Huang, Dongkuan Xu, Ian En-Hsu Yen, Yijue Wang, Sung-En Chang, Bingbing Li, Shiyang Chen, Mimi Xie, Sanguthevar Rajasekaran, Hang Liu 0001, Caiwen Ding","Sparse Progressive Distillation: Resolving Overfitting under
                Pretrain-and-Finetune Paradigm.",ACL (1),2022: 190-200,https://doi.org/10.18653/v1/2022.acl-long.16,inproceedings
"Shaoyi Huang, Ning Liu 0007, Yueying Liang, Hongwu Peng, Hongjia Li, Dongkuan Xu, Mimi Xie, Caiwen Ding",An Automatic and Efficient BERT Pruning for Edge AI Systems.,ISQED,2022: 1-6,https://doi.org/10.1109/ISQED54688.2022.9806197,inproceedings
"Dongkuan Xu, Subhabrata Mukherjee, Xiaodong Liu, Debadeepta Dey, Wenhui Wang, Xiang Zhang, Ahmed Hassan Awadallah, Jianfeng Gao","Few-shot Task-agnostic Neural Architecture Search for Distilling Large Language
                Models.",NeurIPS,2022: ,"
                http://papers.nips.cc/paper_files/paper/2022/hash/b7c12689a89e98a61bcaa65285a41b7c-Abstract-Conference.html",inproceedings
"Dongkuan Xu, Subhabrata Mukherjee, Xiaodong Liu 0003, Debadeepta Dey, Wenhui Wang, Xiang Zhang 0001, Ahmed Hassan Awadallah, Jianfeng Gao","AutoDistil: Few-shot Task-agnostic Neural Architecture Search for Distilling
                Large Language Models.",CoRR,abs/2201.12507(2022): ,https://arxiv.org/abs/2201.12507,article
"Shaoyi Huang, Ning Liu 0007, Yueying Liang, Hongwu Peng, Hongjia Li, Dongkuan Xu, Mimi Xie, Caiwen Ding",An Automatic and Efficient BERT Pruning for Edge AI Systems.,CoRR,abs/2206.10461(2022): ,https://doi.org/10.48550/arXiv.2206.10461,article
"Ian En-Hsu Yen, Zhibin Xiao, Dongkuan Xu","S4: a High-sparsity, High-performance AI Accelerator.",CoRR,abs/2207.08006(2022): ,https://doi.org/10.48550/arXiv.2207.08006,article
"Qin Zhang, Shangsi Chen, Dongkuan Xu, Qingqing Cao, Xiaojun Chen, Trevor Cohn, Meng Fang",A Survey for Efficient Open Domain Question Answering.,CoRR,abs/2211.07886(2022): ,https://doi.org/10.48550/arXiv.2211.07886,article
"Shengkun Tang, Yaqing Wang, Zhenglun Kong, Tianchi Zhang 0004, Yao Li, Caiwen Ding, Yanzhi Wang, Yi Liang, Dongkuan Xu","You Need Multiple Exiting: Dynamic Early Exiting for Accelerating Unified Vision
                Language Model.",CoRR,abs/2211.11152(2022): ,https://doi.org/10.48550/arXiv.2211.11152,article
"Shaoyi Huang, Bowen Lei, Dongkuan Xu, Hongwu Peng, Yue Sun, Mimi Xie, Caiwen Ding",Dynamic Sparse Training via Balancing the Exploration-Exploitation Trade-off.,CoRR,abs/2211.16667(2022): ,https://doi.org/10.48550/arXiv.2211.16667,article
"Lei Zhang, Jie Zhang, Bowen Lei, Subhabrata Mukherjee, Xiang Pan, Bo Zhao, Caiwen Ding, Yao Li, Dongkuan Xu",Accelerating Dataset Distillation via Model Augmentation.,CoRR,abs/2212.06152(2022): ,https://doi.org/10.48550/arXiv.2212.06152,article
"Hua Wei 0001, Dongkuan Xu, Junjie Liang, Zhenhui Li",How Do We Move: Modeling Human Movement with System Dynamics.,AAAI,2021: 4445-4452,https://ojs.aaai.org/index.php/AAAI/article/view/16571,inproceedings
"Dongkuan Xu, Junjie Liang, Wei Cheng 0002, Hua Wei, Haifeng Chen, Xiang Zhang 0001","Transformer-Style Relational Reasoning with Dynamic Memory Updating for Temporal
                Network Modeling.",AAAI,2021: 4546-4554,https://ojs.aaai.org/index.php/AAAI/article/view/16583,inproceedings
"Junjie Liang, Yanting Wu, Dongkuan Xu, Vasant G. Honavar",Longitudinal Deep Kernel Gaussian Process Regression.,AAAI,2021: 8556-8564,https://ojs.aaai.org/index.php/AAAI/article/view/17038,inproceedings
"Dongkuan Xu, Wei Cheng 0002, Xin Dong 0010, Bo Zong, Wenchao Yu, Jingchao Ni, Dongjin Song, Xuchao Zhang, Haifeng Chen, Xiang Zhang 0001",Multi-Task Recurrent Modular Networks.,AAAI,2021: 10496-10504,https://ojs.aaai.org/index.php/AAAI/article/view/17256,inproceedings
"Xin Dong 0010, Yaxin Zhu, Zuohui Fu, Dongkuan Xu, Gerard de Melo",Data Augmentation with Adversarial Training for Cross-Lingual NLI.,ACL/IJCNLP (1),2021: 5158-5167,https://doi.org/10.18653/v1/2021.acl-long.401,inproceedings
"Dongkuan Xu, Ian En-Hsu Yen, Jinxi Zhao, Zhibin Xiao",Rethinking Network Pruning - under the Pre-train and Fine-tune Paradigm.,NAACL-HLT,2021: 2376-2382,https://doi.org/10.18653/v1/2021.naacl-main.188,inproceedings
"Dongkuan Xu, Wei Cheng 0002, Dongsheng Luo, Haifeng Chen, Xiang Zhang 0001",InfoGCL: Information-Aware Graph Contrastive Learning.,NeurIPS,2021: 30414-30425,"
                https://proceedings.neurips.cc/paper/2021/hash/ff1e68e74c6b16a1a7b5d958b95e120c-Abstract.html",inproceedings
"Dongkuan Xu, Wei Cheng 0002, Jingchao Ni, Dongsheng Luo, Masanao Natsumeda, Dongjin Song, Bo Zong, Haifeng Chen, Xiang Zhang 0001","Deep Multi-Instance Contrastive Learning with Dual Attention for Anomaly
                Precursor Detection.",SDM,2021: 91-99,https://doi.org/10.1137/1.9781611976700.11,inproceedings
