Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Maria Chudnovsky, Jason King, Michal Pilipczuk, Pawel Rzazewski, Sophie Spirkl",Finding Large H-Colorable Subgraphs in Hereditary Graph Classes.,SIAM J. Discret. Math.,35(2021): 2357-2386,https://doi.org/10.1137/20M1367660,article
Jason King,"Combining Theory and Practice in Data Structures & Algorithms Course Projects: An
                Experience Report.",SIGCSE,2021: 959-965,https://doi.org/10.1145/3408877.3432476,inproceedings
"Maria Chudnovsky, Jason King, Michal Pilipczuk, Pawel Rzazewski, Sophie Spirkl",Finding Large H-Colorable Subgraphs in Hereditary Graph Classes.,ESA,2020: 35:1-35:17,https://doi.org/10.4230/LIPIcs.ESA.2020.35,inproceedings
"Sarah Heckman, Jessica Young Schmidt, Jason King",Integrating Testing Throughout the CS Curriculum.,ICST Workshops,2020: 441-444,https://doi.org/10.1109/ICSTW50294.2020.00079,inproceedings
"Maria Chudnovsky, Jason King, Michal Pilipczuk, Pawel Rzazewski, Sophie Spirkl",Finding large $H$-colorable subgraphs in hereditary graph classes.,CoRR,abs/2004.09425(2020): ,https://arxiv.org/abs/2004.09425,article
"Casey Lorenzen, Rajeev Agrawal, Jason King",Determining Viability of Deep Learning on Cybersecurity Log Analytics.,IEEE BigData,2018: 4806-4811,https://doi.org/10.1109/BigData.2018.8622165,inproceedings
"Sarah Heckman, Jason King",Developing Software Engineering Skills using Real Tools for Automated Grading.,SIGCSE,2018: 794-799,https://doi.org/10.1145/3159450.3159595,inproceedings
"Jason King, Dan Evans",Key criteria for selecting a secure cloud wireless net work.,Netw. Secur.,2016(2016): 17-20,https://doi.org/10.1016/S1353-4858(16)30010-1,article
"Jeffrey C. Carver, Morgan Burcham, Sedef Akinli Koçak, Ayse Bener, Michael Felderer, Matthias Gander, Jason King, Jouni Markkula, Markku Oivo, Clemens Sauerwein, Laurie A. Williams","Establishing a baseline for measuring advancement in the science of security: an
                analysis of the 2015 IEEE security & privacy proceedings.",HotSoS,2016: 38-51,https://doi.org/10.1145/2898375.2898380,inproceedings
"Sarah Heckman, Jason King","Teaching Software Engineering Skills in CS1.5: Incorporating Real-world Practices
                and Tools (Abstract Only).",SIGCSE,2016: 696-697,https://doi.org/10.1145/2839509.2850562,inproceedings
"Jason King, Rahul Pandita, Laurie A. Williams",Enabling forensics by proposing heuristics to identify mandatory log events.,HotSoS,2015: 6:1-6:11,https://doi.org/10.1145/2746194.2746200,inproceedings
"Sarah Heckman, Jason King, Michael Winters","Automating Software Engineering Best Practices Using an Open Source Continuous
                Integration Framework (Abstract Only).",SIGCSE,2015: 677,https://doi.org/10.1145/2676723.2691921,inproceedings
Jason King,Measuring the forensic-ability of audit logs for nonrepudiation.,ICSE,2013: 1419-1422,https://doi.org/10.1109/ICSE.2013.6606732,inproceedings
