Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Monica M. McGill, Angelica Thompson, Isabella Gransbury, Sarah Heckman, Jennifer Rosato, Leigh Ann DeLyser","Building upon the CAPE Framework for Broader Understanding of Capacity in K-12 CS
                Education.",SIGCSE (1),2023: 577-582,https://doi.org/10.1145/3545945.3569799,inproceedings
"Matthew Zahn, Sarah Heckman","Observations on Student Help-Seeking Behaviors in Introductory Computer Science
                Courses.",SIGCSE (2),2023: 1380,https://doi.org/10.1145/3545947.3576325,inproceedings
"Sarah Heckman, Jeffrey C. Carver, Mark Sherriff, Ahmed Al-Zubidy","A Systematic Literature Review of Empiricism and Norms of Reporting in Computing
                Education Research Literature.",ACM Trans. Comput. Educ.,22(2022): 3:1-3:46,https://doi.org/10.1145/3470652,article
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee","What Makes Team[s] Work? A Study of Team Characteristics in Software Engineering
                Projects.",ICER (1),2022: 177-188,https://doi.org/10.1145/3501385.3543980,inproceedings
"Bradley Erickson, Sarah Heckman, Collin F. Lynch","Characterizing Student Development Progress: Validating Student Adherence to
                Project Milestones.",SIGCSE (1),2022: 15-21,https://doi.org/10.1145/3478431.3499373,inproceedings
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee","Identifying Struggling Teams in Software Engineering Courses Through Weekly
                Surveys.",SIGCSE (1),2022: 126-132,https://doi.org/10.1145/3478431.3499367,inproceedings
"Zhikai Gao, Sarah Heckman, Collin F. Lynch","Who Uses Office Hours?: A Comparison of In-Person and Virtual Office Hours
                Utilization.",SIGCSE (1),2022: 300-306,https://doi.org/10.1145/3478431.3499334,inproceedings
"Niki Gitinabard, Sarah Heckman, Tiffany Barnes, Collin F. Lynch",Designing a Dashboard for Student Teamwork Analysis.,SIGCSE (1),2022: 446-452,https://doi.org/10.1145/3478431.3499377,inproceedings
"Jeffrey C. Carver, Sarah Heckman, Mark Sherriff",Training Computing Educators to Become Computing Education Researchers.,SIGCSE (1),2022: 724-730,https://doi.org/10.1145/3478431.3499297,inproceedings
"Amogh Mannekote, Mehmet Celepkolu, Aisha Chung Galdo, Kristy Elizabeth Boyer, Maya Israel, Sarah Heckman, Kristin Stephens-Martinez","Don't Just Paste Your Stacktrace: Shaping Discussion Forums in Introductory CS
                Courses.",SIGCSE (2),2022: 1164,https://doi.org/10.1145/3478432.3499110,inproceedings
"Sarah Heckman, Mia Minnes",Academic Middle Management: Undergraduate Leadership in Computing Programs.,SIGCSE (2),2022: 1184,https://doi.org/10.1145/3478432.3499196,inproceedings
"Zhikai Gao, Collin F. Lynch, Sarah Heckman, Tiffany Barnes",Automatically classifying student help requests: a multi-year analysis.,EDM,2021: ,,inproceedings
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee",SQLRepair: Identifying and Repairing Mistakes in Student-Authored SQL Queries.,ICSE (SEET),2021: 199-210,https://doi.org/10.1109/ICSE-SEET52601.2021.00030,inproceedings
